Sr.no.,year,state,permits,handguns,long_guns,bg_check,avg_age,avg_ed,avg_in,per_fem,per_hisp,per_white,per_black,per_native,per_asian,urb,region,pol
1,2002,Alabama,0,65294,111339,221008,48,6.6,28556,52,1.4,75.2,21.7,0.5,0.7,9.61,South,Red
2,2002,Alaska,0,10504,20709,36793,42,7.2,36370,48,3.2,79.2,2.4,7.6,4.8,8.74,South,Red
3,2002,Arizona,19382,53833,59906,142260,48,7,32237,50,17.9,83.1,2.1,2,2,11.3,West,Red
4,2002,Arkansas,6163,30448,82190,153424,48,6.5,25885,51,2.3,83.6,12.3,0.5,0.9,9.26,South,Red
5,2002,California,191714,235121,257323,684390,46,7.2,38673,50,22,69.1,4.8,0.8,12.4,12.19,West,Blue
6,2002,Colorado,0,66778,110700,183754,45,7.4,35853,50,11.4,87.4,2.4,0.7,2.4,11.15,West,Blue
7,2002,Connecticut,39618,24680,26081,93598,48,7.4,44496,51,6,87.4,6,0.2,2.4,11.41,Northeast,Blue
8,2002,Delaware,0,4767,11345,16388,47,7,35219,51,3.4,81.8,13.3,0.4,2.2,11.01,South,Blue
9,2002,Florida,0,129720,137169,288848,50,7,32443,51,13.3,83.9,9.8,0.4,1.9,11.46,South,Red
10,2002,Georgia,28263,68660,121653,285201,46,6.8,33855,51,3.4,73,21.8,0.2,2.3,10.55,South,Red
11,2002,Hawaii,7801,0,0,7807,48,7.2,33517,49,5.3,27,1.1,0.1,54.1,11.09,South,Blue
12,2002,Idaho,11580,12940,36437,74062,46,6.8,25483,48,4.7,94.3,0.2,0.8,0.8,9.59,West,Red
13,2002,Illinois,298024,52562,93303,446138,46,7.1,36545,51,7.3,82.2,9.7,0.2,3.4,11.62,Midwest,Blue
14,2002,Indiana,102722,19154,61251,188235,46,6.7,29920,50,2.7,90.8,6,0.2,0.9,10.41,Midwest,Red
15,2002,Iowa,49567,283,38238,90358,49,6.7,26221,52,2.2,96.5,0.9,0.1,0.8,9.59,Midwest,Red
16,2002,Kansas,0,22864,59259,94110,47,6.9,28022,51,2.7,92.9,2.6,0.7,1.5,10.12,Midwest,Red
17,2002,Kentucky,0,65820,120303,229423,47,6.2,25966,50,0.9,93.6,4.3,0.2,0.6,9.79,South,Red
18,2002,Louisiana,23,50115,88494,169580,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,South,Red
19,2002,Maine,0,12379,34000,49922,48,6.9,28077,52,0.5,97.1,0.3,0.6,0.7,9.04,Northeast,Blue
20,2002,Maryland,27781,650,47969,78764,47,7.3,39103,52,3.4,73.8,19.9,0.2,3.8,11.71,South,Blue
21,2002,Massachusetts,56175,17775,15486,94824,47,7.5,40756,52,4,89.8,3.4,0.2,3.5,11.84,Northeast,Red
22,2002,Michigan,152273,23208,173907,353540,46,6.9,32513,50,2.3,86.4,9.2,0.4,1.7,10.81,Midwest,Purple
23,2002,Minnesota,38844,28026,116316,192392,45,7.2,34098,50,2.1,92.3,2.1,0.7,2.7,10.46,Midwest,Purple
24,2002,Mississippi,0,36975,77077,149948,47,6.4,24499,52,1,69.2,28.9,0.2,0.5,8.91,South,Red
25,2002,Missouri,0,32075,142956,197990,47,6.9,29727,51,1.9,88.7,7.3,0.5,1.3,10.2,Midwest,Red
26,2002,Montana,2710,14595,41821,76322,48,6.9,25223,50,1.6,89.6,0.2,7.3,0.3,8.47,West,Red
27,2002,Nebraska,15609,179,25886,43177,47,6.9,27553,50,3.9,94.3,1.6,0.3,0.9,10.2,Midwest,Red
28,2002,Nevada,0,21956,23897,47155,48,6.8,34699,49,12,81.9,4.8,1.4,5.5,11.77,West,Purple
29,2002,New Hampshire,10079,13637,25722,49666,46,7.3,37415,50,1.2,96.4,0.8,0.3,1.1,9.92,Northeast,Purple
30,2002,New Jersey,0,17647,24996,43318,48,7.3,43427,51,9,80.4,8.7,0.2,5.6,12.24,Northeast,Blue
31,2002,New Mexico,0,22499,38465,80057,49,6.8,28185,51,35.9,76.8,1.3,4.1,1,9.9,West,Blue
32,2002,New York,48562,7883,103299,160927,48,7.2,38337,52,9.3,78.8,10.8,0.3,4.8,12.56,Northeast,Blue
33,2002,North Carolina,87457,2097,139016,268916,47,6.8,30747,51,3.7,78.3,15.4,1.7,1.6,10.32,South,Red
34,2002,North Dakota,1830,4127,22815,31339,46,6.9,26578,50,0.9,94.4,0.3,3.5,0.5,9.05,Midwest,Red
35,2002,Ohio,0,91493,177973,297033,48,6.8,31208,51,1.4,89.7,7.5,0.2,1.1,10.88,Midwest,Red
36,2002,Oklahoma,0,40268,80912,159489,47,6.8,27928,50,3.5,80.9,5.3,5.5,1.7,9.94,South,Red
37,2002,Oregon,691,44013,90360,137513,48,7.2,30570,51,4.7,91.4,1.2,0.8,2.5,10.71,West,Blue
38,2002,Pennsylvania,5798,0,556095,567702,49,6.9,31137,51,2,90.2,6.3,0.1,1.7,11.15,Northeast,Purple
39,2002,Rhode Island,0,4055,4603,9521,48,7,33921,52,4.8,90.8,2.9,0.3,1.6,11.72,Northeast,Blue
40,2002,South Carolina,13175,34992,58350,121976,47,6.8,30962,52,2.3,75.8,21.1,0.4,0.8,10.11,South,Red
41,2002,South Dakota,0,7163,32929,44282,47,6.9,27485,51,1,96.5,0.4,1.4,0.4,8.73,Midwest,Red
42,2002,Tennessee,3,91223,128568,223048,47,6.6,29598,51,1.9,85.8,11,0.4,0.9,10.2,South,Red
43,2002,Texas,94820,142352,313156,664745,46,6.8,33014,50,25.4,77.2,8.3,0.5,2.8,11.17,South,Red
44,2002,Utah,0,16940,43981,61710,43,7.1,29052,48,5.8,93.6,0.6,0.5,1.8,10.96,West,Red
45,2002,Vermont,0,5655,14568,20483,47,7.2,30403,50,0.9,97.2,0.3,0.3,0.7,8.84,Northeast,Blue
46,2002,Virginia,0,69145,120780,191789,46,7.2,37546,51,3.4,77.5,16,0.4,3.6,10.91,South,Blue
47,2002,Washington,50549,43246,74411,193439,46,7.3,34860,50,4.5,85.4,2.3,1,6.2,11.12,West,Blue
48,2002,West Virginia,0,31513,71433,134846,50,6.2,23707,50,0.6,96.6,1.7,0.3,0.4,9.11,South,Red
49,2002,Wisconsin,0,39027,132412,173779,47,6.9,30492,50,2.2,93.4,2.9,0.6,1.2,10.19,Midwest,Red
50,2002,Wyoming,1998,7903,18007,33585,46,7,30308,49,5.8,93.4,0.7,1.2,0.5,8.26,West,Red
51,2003,Alabama,0,67985,114104,225479,49,6.7,27962,52,1.5,75.9,21.4,0.4,0.7,9.61,South,Red
52,2003,Alaska,31,11141,20385,37059,43,7.2,36312,49,3.6,78.8,3.1,8.1,5,8.74,South,Red
53,2003,Arizona,19353,49634,57002,145719,48,7,32756,50,18.2,84,2.2,2.6,2.3,11.3,West,Red
54,2003,Arkansas,1932,31430,82507,150249,48,6.5,26766,51,3,83,12,0.7,1,9.26,South,Red
55,2003,California,156003,158811,209606,524431,47,7.2,38537,49,23,70.2,4.7,0.9,12.5,12.19,West,Blue
56,2003,Colorado,9584,67461,99640,181257,46,7.5,37695,50,11.2,88.3,2.9,0.6,2.5,11.15,West,Blue
57,2003,Connecticut,43163,25588,27660,100567,48,7.4,44615,51,6.3,87.4,6.4,0.3,2.4,11.41,Northeast,Blue
58,2003,Delaware,0,4999,11132,16361,47,7.1,35714,51,3.5,81.6,13.9,0.4,2,11.01,South,Blue
59,2003,Florida,0,134083,144746,298181,50,7,32510,51,14.2,83.8,9.9,0.4,2.1,11.46,South,Red
60,2003,Georgia,29539,70067,122709,282218,46,6.9,33564,51,4.1,72.8,21.6,0.2,2.5,10.55,South,Red
61,2003,Hawaii,7394,0,0,7439,49,7.2,33666,50,4.9,27.1,1,0.1,56.8,11.09,South,Blue
62,2003,Idaho,11747,13074,36343,74669,46,6.8,25512,49,5,94.7,0.3,1.2,1.1,9.59,West,Red
63,2003,Illinois,363619,53877,95656,515917,47,7.2,37041,51,7.8,82.1,9.7,0.3,3.9,11.62,Midwest,Blue
64,2003,Indiana,72839,29773,75224,183853,47,6.7,30486,50,2.7,90.9,5.7,0.2,1.1,10.41,Midwest,Red
65,2003,Iowa,50608,251,42061,95127,49,6.8,27330,51,2.2,96.1,1,0.2,1.1,9.59,Midwest,Red
66,2003,Kansas,0,23695,61476,97365,47,7,29206,50,2.8,93.4,2.4,0.7,1.3,10.12,Midwest,Red
67,2003,Kentucky,0,65656,118164,226869,48,6.3,25192,50,1,93.7,4.4,0.3,0.5,9.79,South,Red
68,2003,Louisiana,2,51998,93440,175693,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,South,Red
69,2003,Maine,0,12532,34958,50897,49,7,28745,52,0.8,97.2,0.4,0.8,0.5,9.04,Northeast,Blue
70,2003,Maryland,27009,772,48415,78270,47,7.4,40087,52,3.2,73.8,19.7,0.3,3.9,11.71,South,Blue
71,2003,Massachusetts,85043,21189,17139,131395,47,7.5,39902,52,4.1,89.9,3.8,0.2,3.2,11.84,Northeast,Red
72,2003,Michigan,134124,27094,176602,342161,47,7,33174,50,2.5,86.3,9.3,0.5,1.7,10.81,Midwest,Purple
73,2003,Minnesota,56971,39391,124062,229728,46,7.3,35036,51,2,92.7,2.4,0.7,2.4,10.46,Midwest,Purple
74,2003,Mississippi,0,36612,78498,150877,48,6.4,25303,53,1.1,69,29.1,0.3,0.6,8.91,South,Red
75,2003,Missouri,0,36899,143044,202865,47,6.9,30104,51,1.9,89.2,7.8,0.5,1.1,10.2,Midwest,Red
76,2003,Montana,3713,15408,43737,80786,49,7,25513,50,1.5,88.6,0.2,8.1,0.7,8.47,West,Red
77,2003,Nebraska,15722,169,27344,44758,48,6.9,28688,51,4.4,93.7,2,0.5,0.9,10.2,Midwest,Red
78,2003,Nevada,0,22692,25381,49432,48,6.7,34084,48,13.8,80.2,5.3,1.6,5.3,11.77,West,Purple
79,2003,New Hampshire,14898,13890,25690,54724,47,7.3,36297,50,1.4,96.6,0.5,0.1,1.2,9.92,Northeast,Purple
80,2003,New Jersey,0,15998,25122,41733,48,7.3,43535,51,9,79.5,9.8,0.2,6,12.24,Northeast,Blue
81,2003,New Mexico,0,22599,37898,79140,49,6.7,26896,51,34.4,75.1,1.6,6.7,1,9.9,West,Blue
82,2003,New York,35833,8649,103693,150831,48,7.2,38429,52,9.5,78.6,10.8,0.3,5.1,12.56,Northeast,Blue
83,2003,North Carolina,79605,2493,141837,264488,47,6.8,30493,51,3.6,78.5,16,1.6,1.5,10.32,South,Red
84,2003,North Dakota,2545,4345,23805,33393,46,6.9,27019,50,0.9,93.9,0.4,4.3,0.5,9.05,Midwest,Red
85,2003,Ohio,0,93250,178186,298632,48,6.9,30850,51,1.4,89.2,8.1,0.2,1,10.88,Midwest,Red
86,2003,Oklahoma,0,43202,84837,167551,48,6.9,28122,50,3.4,80.7,5.3,6.9,1.3,9.94,South,Red
87,2003,Oregon,617,47287,92310,142960,48,7.2,31645,50,4.8,91.6,0.8,0.8,2.9,10.71,West,Blue
88,2003,Pennsylvania,4374,2,506403,515896,49,6.9,31119,51,2.3,90.2,6.3,0.1,1.5,11.15,Northeast,Purple
89,2003,Rhode Island,0,4010,4699,9660,48,7.1,34750,52,4.7,91.4,3.1,0.5,2,11.72,Northeast,Blue
